id,section_id,name,definition
98,1,Mean Speed,"The arithmetic mean (average) of all observed vehicle speeds in the segment (i.e., the sum of all spot speeds divided by the number of recorded speeds)."
99,1,School Zone Indicator,Indication of whether the segment contains a school zone.
100,1,On-Street Parking Presence,Time-based parking restrictions.
101,1,On-Street Parking Type,Type of on-street parking present on the segment.
102,1,Roadway Lighting,The type of roadway lighting present on the segment..
103,1,Toll Charged,"Presence and type of toll facility on the segment. If tolls are charged in both directions, but only one direction at a given time, then use Code ‘1’. Include HOT lanes and other special toll lanes. Use Code ‘3’ for subsections of a toll facility that do not have tolls."
104,1,Toll Type,"Presence of special tolls (i.e., HOT lane(s) or other managed lanes). HOT lanes are HOV lanes where a fee is charged, sometimes based on occupancy of the vehicle or the type of vehicle"
105,1,Edgeline Presence/Width,Presence and width of edgeline.
106,1,Centerline Presence/Width,Presence and width of centerline.
107,1,Centerline Rumble Strip Presence/Type,Presence and type of centerline rumble strips on the segment.
108,1,Passing Zone Percentage,Percent of segment length striped for passing.
109,1,Bridge Numbers for Bridges in Segment ,The official structure number from bridge file for bridges in segment (See discussion in Appendix A).
110,2,Unique Junction Identifier,A unique junction identifier.
111,2,Type of Intersection/Junction,Type of junction being described in the data record.
112,2,Location Identifier for Road 1 Crossing Point,"Location of the center of the junction on the first intersecting route (e.g. route-milepost). Note that if the Junction File is a spatial data file, this would be the coordinates and would be the same for all crossing roads."
113,2,Location Identifier for Road 2 Crossing Point,"Location of the center of the junction on the second intersecting route (e.g. route-milepost). Note that in a spatial data system, this would be the same as Element 112. Location Identifier for Road 1 Crossing Point. Not applicable if intersecting route is not an inventoried road (i.e., a railroad or bicycle path)."
114,2,Location Identifier for Additional Road Crossing Points,"Location of the center of the junction on the third and subsequent intersecting route (e.g. route-milepost). Note that in a spatial data system, this would be the same as Element 112. Location Identifier for Road 1 Crossing Point. Not applicable if intersecting route is not an inventoried road (i.e., a railroad or bicycle path)."
115,2,Intersection/Junction Number of Legs,The number of legs entering an at-grade intersection/junction.
116,2,Intersection/Junction Geometry,The type of geometric configuration that best describes the intersection/junction.
117,2,School Zone Indicator,An indication of whether the intersection/junction is in a school zone.
118,2,Railroad Crossing Number,Railroad crossing number if a railroad grade crossing (for linkage to National Highway-Rail Crossing Inventory).
119,2,Intersecting Angle,"The measurement in degrees of the smallest angle between any two legs of the intersection. This value will always be within a range of 0 to 90 degrees (i.e., for non-zero angles, always measure the acute rather than the obtuse angle)."
120,2,Intersection/Junction Offset Distance,"Offset distance between the centerlines of the intersecting legs (minor road) at the intersection. When the intersection legs are not offset, the value of this data item should be zero."
121,2,Intersection/Junction Traffic Control,Traffic control present at intersection/junction.
122,2,Signalization Presence/Type,Presence and type of signalization at intersection/junction.
123,2,Intersection/Junction Lighting,Presence of lighting at intersection/junction.
124,2,Circular Intersection - Number of Circulatory Lanes,Number of circulatory lanes in circular intersection.
125,2,Circular Intersection - Circulatory Lane Width,Width of the roadway between the central island and outer edge of the circulatory lane in a circular intersection.
126,2,Circular Intersection - Inscribed Diameter,Distance between the outer edges of the circulatory roadway of a circular intersection.
127,2,Circular Intersection - Bicycle Facility,Presence and type of bicycle facility at circular intersection.
128,3,Intersection Identifier for this Approach,The unique numeric identifier assigned to the intersection that includes this approach (see Element 110. Unique Junction Identifier). This element provides linkage to the basic intersection information and to all other approaches.
129,3,Unique Approach Identifier,A unique identifier for each approach of an intersection.
130,3,Approach AADT,The AADT on the approach leg of the intersection/junction.
131,3,Approach AADT Year,The year of the AADT on the approach leg of the intersection/junction.
132,3,Approach Mode,Intended modes for the approach.
133,3,Approach Directional Flow,Indication of one-way or two-way flow on approach.
134,3,Number of Approach Through Lanes,"Total number of through lanes on approach (both directions if two-way, one direction if one-way)."
135,3,Left-Turn Lane Type,Type of left-turn lane(s) that accommodate left turns from this approach.
136,3,Number of Exclusive Left-Turn Lanes,Number of exclusive left-turn lanes that accommodate left turns from this approach.
137,3,Amount of Left-Turn Lane Offset,"Amount of offset between conventional left-turn lane(s) on this approach and opposing approach. Offset refers to direction (plus or minus) and distance between the centerline of the left-turn lane on this approach and the centerline of the left-turn lane on the opposing approach. The direction is positive if the left-turn lane on this approach is to the left of the opposing left-turn lane and negative if vice versa. If the opposing left-turn lanes are aligned, enter “0”."
138,3,Right-Turn Channelization,Right-turn channelization on approach.
139,3,Traffic Control of Exclusive Right-Turn Lanes,Traffic control of exclusive right-turn lanes on approach.
140,3,Number of Exclusive Right-Turn Lanes,Number of exclusive right-turn lanes on approach.
141,3,Length of Exclusive Left-Turn Lanes,Storage length of exclusive left-turn lane(s) (not including taper).
142,3,Length of Exclusive Right-Turn Lanes,Storage length of exclusive right-turn lane(s) (not including taper).
143,3,Median Type at Intersection,Median type at intersection separating opposing traffic lanes on this approach. Pedestrian refuge islands are also captured in Element 147. Crosswalk Presence/Type.
144,3,Approach Traffic Control,Traffic control present on approach. Pedestrian signalization is captured in Element 148. Pedestrian Signal Activation Type.
145,3,Approach Left Turn Protection,Presence and type of left-turn protection on the approach.
146,3,Signal Progression,Signal progression on approach..
147,3,Crosswalk Presence/Type,Presence and type of crosswalk crossing this approach leg.
148,3,Pedestrian Signal Activation Type,Type of pedestrian signalization activation for crossing this approach.
149,3,Pedestrian Signal Presence/Type,Presence and type of pedestrian signal for crossing this approach.
150,3,Crossing Pedestrian Count/Exposure,Count or estimate of average daily pedestrian flow crossing this approach (Note: only applicable to approaches with vehicular traffic).
151,3,Left/Right Turn Prohibitions,Signed left or right turn prohibitions on this approach.
152,3,Right Turn-On-Red Prohibitions,Prohibition of right turns-on-red (RTOR) from this approach.
153,3,Left Turn Counts/Percent,"Count or estimate of average daily left turns, or percent of total approach traffic turning left. (Note: This could also be captured for peak-periods only or by hour of day.)"
154,3,Year of Left Turn Counts/Percent,Year of count or estimate of average daily left turns or percent of total approach traffic turning left.
155,3,Right Turn Counts/Percent,"Count or estimate of average daily right turns, or percent of total approach traffic turning right. (Note: This could also be captured for peak-periods only or by hour of day.)"
156,3,Year of Right Turn Counts/Percent,Year of count or estimate of average daily right turns or percent of total approach traffic turning right.
157,3,Transverse Rumble Strip Presence,Presence of transverse rumble strips on approach.
158,3,Circular Intersection – Entry Width,Full width of entry on this approach where it meets the inscribed circle.
159,3,Circular Intersection – Number of Entry Lanes,"Number of entry lanes into circular intersection on this approach, not including right turn only or auxiliary lanes."
160,3,Circular Intersection – Presence/Type of Exclusive Right-Turn Lane,Presence and type of exclusive right turn lane(s) on this approach.
161,3,Circular Intersection – Entry Radius,Minimum radius of curvature of the curb on the right side of the entry.
162,3,Circular Intersection – Exit Width,Full width of exit on this approach where it meets the inscribed circle.
163,3,Circular Intersection – Number of Exit Lanes,Number of exit lanes from roundabout on this approach leg.
164,3,Circular Intersection – Exit Radius,"Minimum radius of curvature of the curb on the left side of the approach, when facing the intersection."
165,3,Circular Intersection – Pedestrian Facility ,Type of facility for pedestrians crossing this approach.
166,3,Circular Intersection – Crosswalk Location,Location of marked pedestrian crosswalk line (measured as the distance between the yield line and crosswalk markings closest to the intersection).
167,3,Circular Intersection – Island Width ,"Width of raised or painted island separating entry and exit legs (measured at the inscribed circle). If no island is present, record width as zero."
168,4,Unique Interchange Identifier,Unique identifier for each interchange.
169,4,Location Identifier for Road 1 Crossing Point,": Location of midpoint of interchange (e.g., crossing route) on the first intersecting route (e.g. route-milepost, spatial coordinates). Note that if the Junction File is a spatial data file, this would be the coordinates and would be the same for all crossing roads."
170,4,Location Identifier for Road 2 Crossing Point,"Location of midpoint of interchange (e.g., crossing route) on the second intersecting route (e.g. route-milepost). Note that if the Interchange File is a spatial data file, this would be the same coordinates as in 169. Location Identifier for Road 1 Crossing Point, the previous element."
171,4,Location Identifier for Additional Road Crossing Points,"Location on the third and subsequent intersecting route (e.g. route-milepost). Note that if the Interchange File is a spatial data file, this would be the same coordinates as in Element 170. Location Identifier for Road 2 Crossing Point for all additional routes."
172,4,Interchange Type,Type of interchange.
173,4,Interchange Lighting,Type of interchange lighting.
174,4,Interchange Entering Volume,"Sum of entering volumes for all routes entering interchange. For each entering route, this would be counted at a point prior to the first exit ramp."
175,4,Interchange Identifier for this Ramp,The unique numeric identifier assigned to the interchange that this ramp is part of. See Element 168. Unique Interchange Identifier above. This provides linkage to the basic interchange information and to all other ramps.
176,4,Unique Ramp Identifier,An identifier for each ramp that is part of a given interchange. This defines which ramp the following elements are describing.
177,4,Ramp Length,Length of ramp. The length should be measured from taper to taper.
178,4,Ramp Acceleration Lane Length,"Length of acceleration lane, not including taper. For tapered ramps, this would be measured from point of tangency of the last ramp curve to the point where the ramp lane width becomes less than 12 feet. For parallel ramps, this would be measured from nose of painted gore to beginning of taper."
179,4,Ramp Deceleration Lane Length,"Length of deceleration lane, not including taper. For tapered ramps, this would be measured from the point where the ramp lane width becomes 12 feet to the point of curvature of the initial ramp curve. For parallel ramps, this would be measured from end of taper to nose of painted gore."
180,4,Ramp Number of Lanes,Maximum number of lanes on ramp. Include the predominant number of (through) lanes on the ramp. Do not include turn lanes (exclusive or combined) at the termini unless they are continuous (turn) lanes over the entire length of the ramp.
181,4,Ramp AADT,AADT on ramp.
182,4,Year of Ramp AADT,Year of AADT on ramp.
183,4,Ramp Metering,The presence and type of any metering of traffic entering mainline.
184,4,Ramp Advisory Speed Limit,The advisory speed limit on the ramp.
185,4,Roadway Type at Beginning Ramp Terminal,A ramp is described by a beginning and ending ramp terminal in the direction of ramp traffic flow or the direction of inventory. This element describes the type of roadway intersecting with the ramp at the beginning terminal.
186,4,Roadway Feature at Beginning Ramp Terminal,The feature found at the beginning terminal of the ramp.
187,4,Location Identifier for Roadway at Beginning Ramp Terminal,Location on the roadway at the beginning ramp terminal (e.g. route-milepost for that roadway) if the ramp connects with a roadway at that point.
188,4,Location of Beginning Ramp Terminal Relative to Mainline Flow,Ramps can intersect with the traffic flow of a divided or undivided roadway on either of two sides. This defines the side of the roadway flow intersected by the ramp.
189,4,Roadway Type at Ending Ramp Terminal,A ramp is described by a beginning and ending ramp terminal in the direction of inventory. This element describes the type of roadway intersecting with the ramp at the ending terminal.
190,4,Roadway Feature at Ending Ramp Terminal,The feature found at the ending terminal of the ramp.
191,4,Location Identifier for Roadway at Ending Ramp Terminal,Location on the roadway at the ending ramp terminal (e.g. route-milepost for that roadway) if the ramp connects with a roadway at that point.
192,4,Location of Ending Ramp Terminal Relative to Mainline Flow ,Ramps can intersect with the traffic flow of a divided or undivided roadway on either of two sides. This defines the side of the roadway flow intersected by the ramp.
193,5,Curve Identifiers,All elements needed to define location of each curve record.
194,5,Curve Feature Type,Type of horizontal alignment feature being described in the data record.
195,5,Horizontal Curve Degree or Radius,Degree or radius of curve.
196,5,Horizontal Curve Length,Length of curve including spiral.
197,5,Curve Superelevation,Measured superelevation rate or percent.
198,5,Horizontal Transition/Spiral Curve Presence,Presence and type of transition from tangent to curve and curve to tangent.
199,5,Horizontal Curve Intersection/Deflection Angle,"The angle between the two intersecting tangents in the direction of inventory (sometimes called the ""deflection angle""). Code only for Horizontal Angle Points; not applicable if there is a curve joining the tangents."
200,5,Horizontal Curve Direction ,Direction of curve in direction of inventory.
201,6,Grade Identifiers and Linkage Elements,All elements needed to define location of each vertical feature and all elements necessary to link with other safety files.
202,6,Vertical Alignment Feature Type,Type of vertical alignment feature being described in the data record.
203,6,Percent of Gradient,Percent of gradient. Leave blank if record concerns a sag or crest vertical curve.
204,6,Grade Length,Grade length if 202. Vertical Alignment Feature Type is “Vertical gradient.” Length does not include any portion of a vertical curve. Leave blank if record concerns a sag or crest vertical curve.
205,6,Vertical Curve Length ,Vertical curve length if 202. Vertical Alignment Feature Type is “Sag vertical curve” or “Crest vertical curve.”
